Year,ConsumeAllTypes
1966,4.41
1967,4.43
1968,4.50
1969,4.57
1970,4.75
1971,4.84
1972,4.97
1973,5.18
1974,5.23
1975,5.30
1976,5.36
1977,5.40
1978,5.37
1979,5.34
1980,5.56
1981,5.57
1982,5.53
1983,5.30
1983,5.31
1985,5.19
1986,5.00
1987,4.91
1988,4.90
1989,4.93
1990,5.04
1991,5.03
1992,4.96
1993,4.88
1994,4.78
1995,4.77
1996,4.70
1997,4.73
1998,4.66
1999,4.62
2000,4.64
2001,4.63
2002,4.68
2003,4.73
2004,4.82
2005,4.88
2006,4.94
2007,5.05
2008,5.06
2009,4.96
2010,5.00
2011,5.00
2012,5.97
2013,5.82
2014,6.28
2015,8.44
