;;Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)
Country;Beverage Types;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Afghanistan; All types;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Afghanistan; Beer;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Afghanistan; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Afghanistan; Spirits;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Afghanistan; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Albania; All types;Feb 19;Jan 54;Feb 22;03. Dez;Feb 87;Feb 77;Jan 49;Jan 35;Jan 28;02. Mrz;Jan 73;Jan 67;Jan 63;Jan 39;Jan 60;Jan 58;Jan 68;Jan 51;Jan 84;Jan 79
Albania; Beer;0.83;0.46;0.48;0.59;01. Jan;Jan 27;0.52;0.09;0.18;0.42;0.52;0.56;0.58;0.57;0.51;0.43;0.45;0.45;0.46;0.44
Albania; Wine;0.76;0.62;0.98;Jan 37;01. Mai;0.68;0.66;0.67;0.61;0.65;0.46;0.37;0.41;0.24;0.23;0.25;0.29;0.20;0.40;0.44
Albania; Spirits;0.59;0.42;0.77;Jan 16;0.81;0.82;0.32;0.60;0.49;0.96;0.75;0.74;0.64;0.57;0.86;0.90;0.94;0.86;0.97;0.91
Albania; Other alcoholic beverages;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Algeria; All types;0.23;0.26;0.28;0.29;0.29;0.25;0.24;0.20;0.18;0.19;0.40;0.42;0.28;0.29;0.31;0.33;0.33;0.42;0.46;0.48
Algeria; Beer;0.22;0.26;0.27;0.28;0.28;0.24;0.23;0.19;0.17;0.18;0.16;0.17;0.17;0.18;0.19;0.20;0.19;0.27;0.27;0.27
Algeria; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.23;0.25;0.10;0.10;0.11;0.12;0.13;0.13;0.17;0.19
Algeria; Spirits;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02
Algeria; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Angola; All types;Jan 59;Feb 13;Feb 20;Jan 75;Jan 68;Jan 72;Jan 55;Feb 36;Feb 14;02. Dez;Feb 29;Jan 89;Jan 63;Jan 69;02. Jun;Jan 94;Jan 75;Jan 96;Feb 46;Jan 73
Angola; Beer;0.77;0.81;0.96;0.77;0.64;0.61;0.55;0.58;0.44;0.64;0.87;0.73;0.91;0.90;0.84;01. Feb;0.85;Jan 21;Jan 48;Jan 19
Angola; Wine;0.39;0.91;0.81;0.49;0.56;0.73;0.69;Jan 22;0.78;0.65;0.82;0.58;0.24;0.32;0.83;0.57;0.52;0.37;0.49;0.33
Angola; Spirits;0.42;0.42;0.44;0.49;0.48;0.38;0.32;0.55;0.60;0.54;0.59;0.58;0.48;0.48;0.39;0.35;0.37;0.38;0.49;0.21
Angola; Other alcoholic beverages;0.39;0.37;0.38;0.32;0.27;0.28;0.23;0.32;0.32;0.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Antigua and Barbuda; All types;Mai 64;Mai 34;Mai 45;Mai 44;05. Aug;Apr 77;Apr 30;Apr 50;Apr 42;Mai 13;Apr 69;Mrz 87;Mrz 68;Mrz 55;Mrz 57;Mai 41;Apr 33;Mrz 17;Mrz 72;Jan 67
Antigua and Barbuda; Beer;0.69;0.64;0.79;0.94;0.97;0.94;Jan 94;Jan 99;Jan 92;02. Apr;Jan 83;Jan 37;Jan 79;Jan 69;Jan 69;Jan 71;Jan 31;Jan 14;01. Dez;0.92
Antigua and Barbuda; Wine;0.78;0.64;0.68;0.52;0.51;0.93;01. Sep;01. Dez;01. Aug;1.00;Jan 30;0.78;0.34;0.31;0.26;0.65;0.26;0.13;0.85;0.58
Antigua and Barbuda; Spirits;Apr 18;04. Jul;Mrz 98;Mrz 98;Mrz 60;Feb 90;Jan 27;Jan 39;Jan 42;02. Okt;Jan 56;Jan 73;Jan 55;Jan 55;Jan 63;03. Mai;Feb 76;Jan 90;Jan 74;0.17
Antigua and Barbuda; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Argentina; All types;Sep 21;Sep 21;Okt 25;Sep 93;Okt 13;Okt 94;Nov 56;12. Sep;Dez 32;Nov 66;Okt 82;Nov 49;Dez 76;Dez 89;Dez 75;13.84;14.49;14.57;15.29;16.60
Argentina; Beer;Feb 32;Feb 44;Feb 58;Feb 38;Feb 29;Feb 43;Feb 26;Feb 18;Jan 79;Jan 38;Jan 21;01. Jun;Jan 21;Jan 14;0.85;0.86;0.69;0.50;0.47;0.54
Argentina; Wine;Mai 76;Mai 87;Jun 37;Jun 40;Jun 76;Jul 13;Jul 92;Aug 61;Sep 31;Sep 42;Sep 32;Sep 71;10. Okt;Okt 30;Okt 45;Nov 53;Dez 35;Dez 77;Dez 94;13.18
Argentina; Spirits;Jan 13;0.90;Jan 30;Jan 15;01. Aug;Jan 38;Jan 38;Jan 30;Jan 22;0.86;0.29;0.72;Jan 45;Jan 45;Jan 45;Jan 45;Jan 45;Jan 30;Jan 88;Feb 88
Argentina; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Armenia; All types;Feb 16;Jan 90;Feb 84;Feb 92;Feb 98;Apr 34;Feb 71;Feb 52;Feb 98;Mrz 18;;;;;;;;;;
Armenia; Beer;0.18;0.30;0.14;0.07;0.00;0.05;0.01;0.01;0.00;0.00;;;;;;;;;;
Armenia; Wine;0.31;0.17;0.24;0.43;0.55;Jan 26;Jan 43;Jan 28;Feb 13;Feb 18;;;;;;;;;;
Armenia; Spirits;Jan 67;Jan 43;Feb 45;Feb 42;Feb 43;03. Mrz;Jan 26;Jan 23;0.85;1.00;;;;;;;;;;
Armenia; Other alcoholic beverages;No data;No data;No data;No data;0.00;0.00;0.01;No data;No data;0.00;;;;;;;;;;
Australia; All types;Sep 88;Sep 79;Sep 91;Sep 77;Sep 69;Sep 89;Sep 63;Okt 32;Okt 64;11. Jan;12. Sep;Dez 39;Dez 45;Dez 30;Dez 89;Dez 74;Dez 76;13. Mai;13.46;13.30
Australia; Beer;05. Jun;Mai 15;Mai 24;Mai 32;Mai 39;Mai 46;Mai 48;Jun 35;Jun 65;07. Aug;Jul 49;Jul 62;Jul 50;Jul 39;Jul 73;Jul 69;Jul 95;Aug 26;Aug 76;Aug 82
Australia; Wine;Feb 94;Feb 87;Feb 86;Feb 74;Feb 66;Feb 70;Feb 67;Feb 80;Feb 87;Feb 75;Feb 92;03. Jun;Mrz 31;Mrz 34;Mrz 47;Mrz 43;Mrz 30;Mrz 21;03. Dez;Feb 98
Australia; Spirits;Jan 88;Jan 77;Jan 81;Jan 70;Jan 63;Jan 73;Jan 48;Jan 17;01. Dez;Jan 18;Jan 68;Jan 70;Jan 65;Jan 57;Jan 70;Jan 61;Jan 51;Jan 59;Jan 58;Jan 50
Australia; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Austria; All types;Dez 80;Dez 90;Dez 90;13.50;13.40;Dez 50;13.50;13.60;14. Okt;13.90;13.90;13.70;13.50;13.60;13.30;13.90;14.00;13.50;13.50;13.60
Austria; Beer;Jun 80;Jun 80;Jun 70;Jun 80;Jun 90;Jun 90;Jul 20;Jul 50;Jul 30;Jul 30;07. Okt;7.00;Jun 90;Jul 20;Jun 70;Jun 90;Jun 80;Jun 60;Jun 50;Jun 50
Austria; Wine;Apr 20;Apr 30;Apr 20;Apr 40;Apr 50;Apr 30;Apr 50;Apr 60;Apr 70;Apr 80;Apr 90;Apr 80;Apr 70;Apr 60;Apr 80;05. Okt;Mai 30;5.00;5.00;05. Okt
Austria; Spirits;Jan 80;Jan 80;2.00;Feb 30;2.00;Jan 30;Jan 80;Jan 50;02. Okt;Jan 80;Jan 90;Jan 90;Jan 90;Jan 80;Jan 80;Jan 90;Jan 90;Jan 90;2.00;2.00
Austria; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;0.00;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Azerbaijan; All types;Jan 16;Jan 70;0.71;Jan 44;Jan 23;Jan 37;Feb 91;Apr 31;Feb 88;Feb 92;;;;;;;;;;
Azerbaijan; Beer;0.07;0.06;0.06;0.11;0.10;0.20;0.15;0.21;0.00;0.00;;;;;;;;;;
Azerbaijan; Wine;0.89;Jan 35;0.16;0.10;0.13;0.18;0.47;0.13;Feb 88;Feb 92;;;;;;;;;;
Azerbaijan; Spirits;0.18;0.27;0.47;Jan 21;0.98;0.96;Feb 26;Mrz 94;0.00;0.00;;;;;;;;;;
Azerbaijan; Other alcoholic beverages;0.02;0.02;0.03;0.03;0.02;0.03;0.03;0.03;0.00;0.00;;;;;;;;;;
Bahamas; All types;Aug 65;Sep 78;Okt 27;Okt 30;Okt 93;Dez 95;Dez 80;13.20;Dez 45;Dez 58;Dez 34;Dez 17;14.17;14.13;14.55;14.74;15.17;15.88;14.67;15. Sep
Bahamas; Beer;0.88;0.85;0.99;01. Jan;Jan 45;Jan 77;Jan 93;Feb 15;02. Dez;Feb 96;Mrz 33;Mrz 15;04. Nov;Apr 16;Apr 31;Apr 25;Apr 35;Apr 50;04. Mrz;Mrz 69
Bahamas; Wine;Jan 14;0.93;0.97;0.81;Jan 65;Jan 33;Jan 51;Jan 63;Jan 77;Jan 98;Jan 50;Jan 41;Feb 16;Jan 83;Jan 90;Jan 92;Feb 21;03. Mrz;Jan 68;Feb 15
Bahamas; Spirits;Jun 63;8.00;Aug 32;Aug 48;Jul 83;Sep 84;Sep 33;Sep 41;Aug 54;Jul 49;Jul 45;Jul 52;Jul 86;08. Okt;Aug 31;Aug 55;Aug 60;Aug 34;Aug 97;Sep 22
Bahamas; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.02;0.10;0.01;0.02;0.01;0.03;0.03;0.02;0.01;0.01;0.00;0.04
