;;Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)
Country;Beverage Types;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Afghanistan; All types;;;0.01;0.01;0.01;0.01;0.01;0.03;0.02;0.03;0.02;0.02;0.01;0.01;0.00;0.00
Afghanistan; Beer;;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.00;0.00;0.00;0.00
Afghanistan; Wine;;;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00
Afghanistan; Spirits;;;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.01;0.01;0.00;0.01;0.00;0.00;0.00
Afghanistan; Other alcoholic beverages;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Albania; All types;;Apr 51;Apr 76;Mai 14;Mai 37;Mai 28;Mai 79;Mai 61;Mai 58;Mai 31;Mai 16;Apr 54;Apr 29;Mrz 73;Apr 25;Mrz 66
Albania; Beer;;Jan 45;Jan 68;Jan 68;Jan 76;Jan 61;02. Aug;02. Mrz;Jan 86;Jan 73;Jan 59;Jan 33;Jan 39;Jan 23;Jan 42;Jan 26
Albania; Wine;;Jan 14;01. Aug;Jan 33;Jan 29;Jan 32;Jan 30;Jan 22;Jan 36;Jan 29;Jan 34;01. Jul;0.77;0.41;0.81;0.43
Albania; Spirits;;Jan 85;Jan 92;02. Mai;Feb 23;Feb 23;Feb 30;Feb 26;Feb 26;Feb 19;Feb 14;02. Jun;Feb 13;02. Sep;02. Feb;Jan 96
Albania; Other alcoholic beverages;;0.08;0.08;0.09;0.09;0.11;0.11;0.10;0.10;0.10;0.09;0.08;0.00;0.00;0.00;0.00
Algeria; All types;;;0.53;0.66;0.56;0.45;0.50;0.46;0.44;0.36;0.50;0.45;0.34;0.36;0.23;0.25
Algeria; Beer;;;0.25;0.22;0.20;0.17;0.20;0.20;0.16;0.17;0.29;0.24;0.20;0.17;0.10;0.12
Algeria; Wine;;;0.22;0.36;0.30;0.23;0.28;0.23;0.25;0.17;0.19;0.19;0.12;0.18;0.12;0.13
Algeria; Spirits;;;0.10;0.07;0.06;0.04;0.04;0.02;0.03;0.02;0.02;0.03;0.02;0.01;0.01;0.00
Algeria; Other alcoholic beverages;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Andorra; All types;;;Sep 98;Okt 28;Okt 57;Okt 60;Okt 90;11. Feb;Nov 57;Nov 92;12.00;Dez 16;Dez 37;Dez 63;Nov 59;Dez 36
Andorra; Beer;;;03. Okt;Mrz 26;Mrz 27;Mrz 54;Mrz 59;Mrz 56;Mrz 70;Mrz 78;Mrz 64;Mrz 37;Mrz 38;Mrz 21;Mrz 29;Mrz 25
Andorra; Wine;;;Apr 29;Apr 42;Apr 52;Apr 39;Apr 60;Apr 62;Apr 93;Mai 15;Mai 42;Mai 95;06. Mai;Jun 27;Jun 13;Jun 36
Andorra; Spirits;;;Feb 59;Feb 60;Feb 78;Feb 68;Feb 72;Feb 84;Feb 94;Feb 99;Feb 94;Feb 84;Feb 94;Mrz 15;Feb 18;Feb 76
Andorra; Other alcoholic beverages;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Angola; All types;;Aug 33;08. Okt;Aug 24;08. Jun;Jul 80;07. Jan;07. Jul;Jun 35;Mai 84;05. Apr;Mrz 53;Mrz 49;Feb 82;Feb 58;Jan 85
Angola; Beer;;Mai 48;Mai 42;Mai 58;Mai 37;05. Dez;Apr 75;Mrz 92;Mrz 48;Mrz 26;Feb 86;Jan 72;Jan 57;Jan 56;Jan 41;01. Jul
Angola; Wine;;Jan 32;Jan 44;02. Nov;02. Jul;Jan 95;Jan 86;Feb 81;Feb 55;Feb 48;02. Sep;Jan 58;Jan 42;0.80;0.72;0.40
Angola; Spirits;;Jan 47;Jan 18;0.53;0.59;0.64;0.36;0.32;0.30;0.09;0.08;0.22;0.49;0.47;0.45;0.38
Angola; Other alcoholic beverages;;0.07;0.06;0.03;0.04;0.08;0.03;0.03;0.02;0.00;0.00;0.01;0.00;0.00;0.00;0.00
Antigua and Barbuda; All types;;Aug 56;Aug 58;Aug 18;Jul 84;Jul 84;Jul 82;Aug 27;Aug 64;Aug 93;Aug 15;Jul 28;Jul 16;Jul 21;Jul 51;Jul 27
Antigua and Barbuda; Beer;;Feb 72;Feb 77;Feb 81;Feb 85;Feb 89;Feb 94;3.00;Feb 95;Feb 64;Feb 42;Jan 97;Jan 87;Jan 77;Jan 89;Jan 94
Antigua and Barbuda; Wine;;Jan 87;Jan 70;Jan 53;Jan 42;Jan 43;Jan 32;Jan 34;Jan 80;Feb 38;Jan 74;Jan 43;Jan 26;Jan 39;Jan 42;Jan 14
Antigua and Barbuda; Spirits;;Mrz 70;Mrz 84;Mrz 57;Mrz 29;Mrz 25;Mrz 29;Mrz 61;Mrz 60;Mrz 61;Mrz 58;Mrz 48;4.00;04. Feb;Apr 17;Apr 18
Antigua and Barbuda; Other alcoholic beverages;;0.28;0.27;0.29;0.28;0.27;0.27;0.32;0.30;0.29;0.41;0.39;0.02;0.02;0.02;0.02
Argentina; All types;;Jul 93;Aug 28;Aug 35;08. Nov;Aug 15;Aug 33;Aug 41;Aug 16;Jul 75;Jul 53;Jul 63;Jul 62;Jul 81;Jul 76;Jul 68
Argentina; Beer;;Mrz 36;Mrz 36;Mrz 21;Mrz 15;Mrz 32;Mrz 23;Mrz 16;Feb 75;Feb 57;Feb 42;02. Apr;02. Mrz;02. Aug;Jan 90;Jan 79
Argentina; Wine;;Mrz 22;Mrz 51;04. Apr;04. Mai;Mrz 91;Apr 31;Apr 45;Apr 65;Apr 62;Apr 57;05. Mrz;05. Aug;Mai 28;Mai 32;Mai 30
Argentina; Spirits;;0.56;0.52;0.25;0.24;0.45;0.40;0.44;0.44;0.30;0.32;0.52;0.46;0.41;0.49;0.52
Argentina; Other alcoholic beverages;;0.80;0.89;0.85;0.68;0.47;0.39;0.36;0.32;0.26;0.22;0.04;0.04;0.04;0.05;0.06
Armenia; All types;;Mrz 91;Mrz 79;Mrz 89;04. Sep;Apr 23;Mrz 96;Mrz 96;Mrz 99;04. Jan;Apr 25;Mrz 81;03. Mrz;Feb 86;Feb 86;Feb 90
Armenia; Beer;;0.51;0.42;0.25;0.33;0.39;0.32;0.41;0.38;0.36;0.27;0.22;0.17;0.17;0.24;0.18
Armenia; Wine;;0.13;0.13;0.32;0.39;0.30;0.27;0.23;0.23;0.27;0.46;0.43;0.16;0.21;0.28;0.20
Armenia; Spirits;;Mrz 25;Mrz 23;Mrz 31;Mrz 36;Mrz 52;Mrz 36;Mrz 31;Mrz 38;Mrz 37;Mrz 51;Mrz 16;Feb 70;Feb 48;Feb 34;Feb 52
Armenia; Other alcoholic beverages;;0.01;0.01;0.01;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Australia; All types;;Sep 71;Sep 87;10. Mrz;Okt 30;Okt 52;Okt 62;Okt 76;Okt 56;Okt 31;Okt 30;Sep 84;Sep 97;Sep 84;Sep 53;Okt 17
