"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ALCOHOL","TOT","LT_CAP15","A","1960",9.3,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1961",9.4,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1962",9.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1963",9.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1964",10.1,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1965",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1966",10.3,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1967",10.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1968",11.1,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1969",11.6,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1970",11.6,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1971",11.6,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1972",12.2,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1973",12.9,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1974",13.1,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1975",12.9,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1976",13.1,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1977",13,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1978",12.7,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1979",12.7,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1980",12.7,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1981",12.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1982",12.4,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1983",12.2,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1984",11.7,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1985",11.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1986",11.3,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1987",11.4,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1988",11.3,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1989",11,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1990",10.6,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1991",10.1,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1992",9.9,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1993",10.2,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1994",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1995",9.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1996",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1997",10.2,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1998",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1999",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2000",10.2,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2001",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2002",10.4,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2003",10.3,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2004",10.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2005",10.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2006",10.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2007",10.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2008",10.6,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2009",10.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2010",10.3,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2011",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2012",9.9,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2013",9.7,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1960",8.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1961",9.3,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1962",9.7,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1963",9.8,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1964",10.7,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1965",11.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1966",12.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1967",13.1,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1968",13.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1969",13,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1970",13.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1971",13.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1972",14.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1973",14.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1974",14.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1975",14.1,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1976",14.3,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1977",14.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1978",14,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1979",13.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1980",13.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1981",13.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1982",13.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1983",14,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1984",13.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1985",13.3,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1986",13.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1987",13.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1988",13.7,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1989",13.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1990",13.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1991",14.1,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1992",13.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1993",13.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1994",12.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1995",13.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1996",13.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1997",12.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1998",12.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1999",12.8,
